Object type;Object class;Region;Sector;Star name;System;Planet;X;Y;Z;Planet link;Region link;Sector link;System link;Grid;technicalId
Star;;Colonies;;;23 Mere system;23 Mere;113.963;-332.515;;https://starwars.fandom.com/wiki/23_Mere;http://starwars.wikia.com/wiki/Colonies;;https://starwars.fandom.com/wiki/23_Mere_system;M-13;2166
Star;;Colonies;Fakir Sector;;Abonshee system;Abonshee;-79.247;87.948;;https://starwars.fandom.com/wiki/Abonshee;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Fakir_sector;https://starwars.fandom.com/wiki/Abonshee_system;K-9;2176
Star;;Colonies;Tapani Sector;;Achillea system;Achillea;60.561;-361.443;;https://starwars.fandom.com/wiki/Achillea;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Tapani_sector;https://starwars.fandom.com/wiki/Achillea_system;L-13;2185
Star;;Colonies;Fakir Sector;;Agridorn system;Agridorn;246.878;-221.52;;https://starwars.fandom.com/wiki/Agridorn;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Fakir_sector;https://starwars.fandom.com/wiki/Agridorn_system;N-12;2201
Star;;Colonies;Fakir Sector;;Alabash system;Alabash;-72.887;74.739;;https://starwars.fandom.com/wiki/Alabash;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Fakir_sector;https://starwars.fandom.com/wiki/Alabash_system;K-9;2209
Star;;Colonies;Sern Sector;;Albrae-Don system;Albrae-Don;11.477;-395.261;;https://starwars.fandom.com/wiki/Albrae-Don;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Sern_sector;https://starwars.fandom.com/wiki/Albrae-Don_system;L-13;2213
Star;;Colonies;Tapani Sector;;Aleron system;Aleron;63.78;-341.952;;https://starwars.fandom.com/wiki/Aleron;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Tapani_sector;https://starwars.fandom.com/wiki/Aleron_system;L-13;2219
Star;;Colonies;Tapani Sector;;Alisandor system;Alisandor;79.435;-390.68;;https://starwars.fandom.com/wiki/Alisandor;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Tapani_sector;https://starwars.fandom.com/wiki/Alisandor_system;L-13;2221
Star;;Colonies;Tapani Sector;;Andaran system/Andara system;Ieria;87.943;-367.897;;https://starwars.fandom.com/wiki/Ieria;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Tapani_sector;https://starwars.fandom.com/wiki/Andaran_system;L-13;3111
Star;;Colonies;;;Aquilae system;Aquilae;215.195;-261.289;;http://starwars.wikia.com/wiki/Aquilae;http://starwars.wikia.com/wiki/Colonies;;https://starwars.fandom.com/wiki/Aquilae_system;N-12;272
Star;;Colonies;Parfadi Sector;;Arat Fraca system;Arat Fraca;178.207;-265.358;;http://starwars.wikia.com/wiki/Arat_Fraca;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Parfadi_sector;https://starwars.fandom.com/wiki/Arat_Fraca_system;M-12;240
Star;;Colonies;Haldeen Sector;;Argai Minor system;Argai Minor;140.972;52.496;;http://starwars.wikia.com/wiki/Argai_Minor;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Haldeen_sector;https://starwars.fandom.com/wiki/Argai_Minor_system;M-9;227
Star;;Colonies;;;Avedot’s system (assumed);Avedot;35.834;111.16;;https://starwars.fandom.com/wiki/Avedot;http://starwars.wikia.com/wiki/Colonies;;;L-8;4765
Star;K1 V;Colonies;;;Balmorra system/Nevoota system;Balmorra;186.782;-58.001;;http://starwars.wikia.com/wiki/Balmorra;http://starwars.wikia.com/wiki/Colonies;;https://starwars.fandom.com/wiki/Balmorra_system/Legends;M-10;235
Star;;Colonies;;Boradas ;Baradas system;Baradas II;8.06;115.569;;https://starwars.fandom.com/wiki/Baradas_II;http://starwars.wikia.com/wiki/Colonies;;https://starwars.fandom.com/wiki/Baradas_system;L-8;197
Star;;Colonies;Shasos sector;;Bardotta system;Bardotta;-118.899;-345.621;;http://starwars.wikia.com/wiki/Bardotta;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Shasos_sector;https://starwars.fandom.com/wiki/Bardotta_system;J-13;2050
Star;;Colonies;Tapani Sector ?;;Bassadro system;Bassadro;62.249;-374.221;;http://starwars.wikia.com/wiki/Bassadro;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Tapani_sector;https://starwars.fandom.com/wiki/Bassadro_system;L-13;214
Star;;Colonies;Ollonir Boundaries;;Batorine system;Batorine;-130.359;89.431;;http://starwars.wikia.com/wiki/Batorine;http://starwars.wikia.com/wiki/Colonies;https://starwars.fandom.com/wiki/Ollonir_Boundaries;https://starwars.fandom.com/wiki/Batorine_system;J-9;180
Star;;Colonies;;;Belazura system;Belazura;136.533;-308.388;;http://starwars.wikia.com/wiki/Belazura;http://starwars.wikia.com/wiki/Colonies;;https://starwars.fandom.com/wiki/Belazura_system;M-13;246
Star;;Colonies, The Slice;Belnar sector ;;Belnar system;Belnar;129.012;62.113;;http://starwars.wikia.com/wiki/Belnar;http://starwars.wikia.com/wiki/Colonies, https://starwars.fandom.com/wiki/The_Slice/Legends;https://starwars.fandom.com/wiki/Belnar_sector;https://starwars.fandom.com/wiki/Belnar_system;M-9;226
Star;;Colonies, The Slice;;;Besnia system;Besnia;207.428;-231.205;;http://starwars.wikia.com/wiki/Besnia;http://starwars.wikia.com/wiki/Colonies, https://starwars.fandom.com/wiki/The_Slice/Legends;;https://starwars.fandom.com/wiki/Besnia_system;N-12;270
Star;;Colonies;;;Boudolayz system;Boudolayz;201.14;-212.957;;http://starwars.wikia.com/wiki/Boudolayz;http://starwars.wikia.com/wiki/Colonies;;https://starwars.fandom.com/wiki/Boudolayz_system;N-12;268
