Object type;Object class;Region;Sector;Star name;System;Planet;X;Y;Z;Planet link;Region link;Sector link;System link;Grid;technicalId
Star;;Core Worlds;;;Aaeton system;Aaeton;-54.005;14.372;;http://starwars.wikia.com/wiki/Aaeton;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Aaeton_system;K-9;2074
Star;;Core Worlds;;Zug;Zug system;Aaghra, Aargau;96.39;-30.933;;https://starwars.fandom.com/wiki/Aaghra, http://starwars.wikia.com/wiki/Aargau;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Zug_system;L-10;2168
Star;// Red star;Core Worlds;;Anza;Abregado system;Abregado-rae;-4.434;-316.721;;http://starwars.wikia.com/wiki/Abregado-rae;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Abregado_system/Legends;K-13;78
Star;;Core Worlds, Northern Dependencies;;;Adamastor system;Adamastor;45.323;10.867;;https://starwars.fandom.com/wiki/Adamastor;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Northern_Dependencies;;https://starwars.fandom.com/wiki/Adamastor_system;L-9;2188
Star;;Core Worlds, Northern Dependencies;;;Albecus system ;Albecus;48.21;40.643;;https://starwars.fandom.com/wiki/Albecus;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Northern_Dependencies;;https://starwars.fandom.com/wiki/Albecus_system;L-9;2212
Star;// White star;Core Worlds;Alderaan sector;Alderaan;Alderaan system;Alderaan;129.496;-5.968;;http://starwars.wikia.com/wiki/Alderaan;https://starwars.fandom.com/wiki/Core_Worlds,;https://starwars.fandom.com/wiki/Alderaan_sector/Legends;https://starwars.fandom.com/wiki/Alderaan_system;M-10;129
Star;;Core Worlds;;;Aldraig system;Aldraig;104.807;-19.867;;http://starwars.wikia.com/wiki/Aldraig;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Aldraig_system;M-10;128
Star;;Core Worlds, The Negs;;;Alland system;Alland;-45.966;-14.397;;http://starwars.wikia.com/wiki/Alland;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/The_Negs;;https://starwars.fandom.com/wiki/Alland_system;K-10;62
Star;;Core Worlds;Alsaka sector;;Alsakan system ;Alsakan;17.221;10.917;;http://starwars.wikia.com/wiki/Alsakan;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Alsaka_sector;https://starwars.fandom.com/wiki/Alsakan_system;L-9;98
Star;;Core Worlds;Azure sector ;Solis Axum;Axum system/Anaxes system;Anaxes;41.047;24.959;;http://starwars.wikia.com/wiki/Anaxes;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Azure_sector/Legends;https://starwars.fandom.com/wiki/Axum_system;L-9;96
Star;;Core Worlds;;;Andaran system/Andara system;Andara;97.669;-315.8;;http://starwars.wikia.com/wiki/Andara;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Andaran_system;L-13;121
Star;;Core Worlds, The Negs;;;Aradia system;;-90.281;-35;;;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/The_Negs;;https://starwars.fandom.com/wiki/Aradia_system;K-10;57
Star;;Core Worlds;;;Ator system ;Ator;107.472;-73.697;;http://starwars.wikia.com/wiki/Ator;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Ator_system;M-10;131
Star;;Core Worlds, Core Worlds Security Zone, Southern Core;Atrisian Commonwealth;;Atrisi system ;Atrisia;-132.66;-286.761;;https://starwars.fandom.com/wiki/Atrisia;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Core_Worlds_Security_Zone, https://starwars.fandom.com/wiki/Southern_Core;https://starwars.fandom.com/wiki/Atrisian_Commonwealth;https://starwars.fandom.com/wiki/Atrisi_system;J-12;37
Star;;Core Worlds;;;Azbrian system ;Azbrian;61.667;-284.606;;http://starwars.wikia.com/wiki/Azbrian;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Azbrian_system;L-12;117
Star;// Yellow star;Core Worlds, Southern Core;;;Balosar system;Balosar;67.596;-251.748;;http://starwars.wikia.com/wiki/Balosar;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Southern_Core;;https://starwars.fandom.com/wiki/Balosar_system;L-12;113
Star;;Core Worlds;;;Baraboo system ;Baraboo;181.111;-146.907;;http://starwars.wikia.com/wiki/Baraboo;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Baraboo_system;M-11;156
Star;;Core Worlds;;;Basilisk system ;Basilisk;60.924;6.866;;http://starwars.wikia.com/wiki/Basilisk;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Basilisk_system;L-9;101
StarBarycenter;;Core Worlds;;Matanya A/Matanya B;Belgaroth system;Belgaroth;-11.955;-334.352;;http://starwars.wikia.com/wiki/Belgaroth;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Belgaroth_system;K-13;80
Star;;Core Worlds;;;Bellassa system;Bellassa;183.068;-152.777;;http://starwars.wikia.com/wiki/Bellassa;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Bellassa_system;M-11;157
Star;;Core Worlds, Southern Core;Botor Enclave;;Botor system;Botor;-3.862;-270.404;;http://starwars.wikia.com/wiki/Botor;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Southern_Core;https://starwars.fandom.com/wiki/Botor_Enclave;https://starwars.fandom.com/wiki/Botor_system;K-12;71
Star;;Core Worlds, Ringali Shell;Bormea sector ;Brenta;Brentaal system;Brentaal IV;60.499;35.894;;https://starwars.fandom.com/wiki/Brentaal_IV;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Ringali_Shell;https://starwars.fandom.com/wiki/Bormea_sector/Legends;https://starwars.fandom.com/wiki/Brentaal_system;L-9;93
Star;;Core Worlds;;;Broest system;Broest;65.326;-24.45;;http://starwars.wikia.com/wiki/Broest;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Broest_system;L-10;105
Star;;Core Worlds;;Cirius;Cirius system;Caamas;113.696;7.086;;http://starwars.wikia.com/wiki/Caamas;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Cirius_system/Legends;M-9;127
Star;;Core Worlds;Torranix sector;Soruus ;Cal-Seti system ;Cal-Seti;-73.936;-34.194;;http://starwars.wikia.com/wiki/Cal-Seti;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Torranix_sector;https://starwars.fandom.com/wiki/Cal-Seti_system;K-10;58
Star;;Core Worlds;;;Cambria system ;Cambria;93.111;-58.448;;https://starwars.fandom.com/wiki/Cambria_system;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Cambria_system;L-10;14
Star;;Core Worlds;;;Challon system ;Challon;28.395;51.687;;http://starwars.wikia.com/wiki/Challon;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Challon_system;L-9;85
Star;;Core Worlds, Southern Core;;;Chamm system ;;105.407;-250.433;;;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Southern_Core;;https://starwars.fandom.com/wiki/Chamm_system;M-12;170
Star;;Core Worlds;Bormea sector;Chandrila;Chandrila system;Chandrila;55.319;32.556;;http://starwars.wikia.com/wiki/Chandrila;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Bormea_sector/Legends;https://starwars.fandom.com/wiki/Chandrila_system/Legends;L-9;94
Star;;Core Worlds;;;Chasin system ;Chasin;158.341;-249.447;;http://starwars.wikia.com/wiki/Chasin;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Chasin_system;M-12;169
Star;;Core Worlds;;;Columus system ;Columus;133.33;-129.521;;http://starwars.wikia.com/wiki/Columus;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Columus_system;M-11;152
Star;;Core Worlds;;;Condular system ;Condular;151.108;-274.106;;http://starwars.wikia.com/wiki/Condular;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Condular_system;M-12;173
Star;;Core Worlds;;;Corann system ;Corann;99.757;33.447;;http://starwars.wikia.com/wiki/Corann;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Corann_system;L-9;125
Star;;Core Worlds;Corellian sector;Corell;Corellia system;Corellia;157.553;-186.038;;http://starwars.wikia.com/wiki/Corellia;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Corellian_sector/Legends;https://starwars.fandom.com/wiki/Corellia_system;M-11;164
Star;;Core Worlds;;;Cortina system ;Cortina;-60.163;-277.02;;http://starwars.wikia.com/wiki/Cortina;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Cortina_system;K-12;77
Star;;Core Worlds;Bormea sector;Corulus;Corulus system/Corula system;Corulag;49.679;29.563;;http://starwars.wikia.com/wiki/Corulag;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Bormea_sector/Legends;https://starwars.fandom.com/wiki/Corulus_system;L-9;95
Star;;Core Worlds;Coruscant subsector, Corusca sector;Coruscant Prime;Coruscant system/Imperial system/Yuuzhan'tar system;Coruscant;0;0;;http://starwars.wikia.com/wiki/Coruscant;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Coruscant_sector, https://starwars.fandom.com/wiki/Corusca_sector/Legends;https://starwars.fandom.com/wiki/Coruscant_system;K-9;178
Star;;Core Worlds, Southern Core;;;Cuvacia system ;Cuvacia;-93.206;-304.268;;;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Southern_Core;;https://starwars.fandom.com/wiki/Cuvacia_system;K-13;82
Star;;Core Worlds;Emmo sector ;;Dachat system ;Dachat;-59.211;37.88;;http://starwars.wikia.com/wiki/Dachat;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Emmo_sector;https://starwars.fandom.com/wiki/Dachat_system;K-9;46
Star;;Core Worlds;;;Danteel system ;Danteel;115.793;-261.304;;http://starwars.wikia.com/wiki/Danteel;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Danteel_system;M-12;175
Star;;Core Worlds;;;Darada system;Darada;-26.038;25.026;;http://starwars.wikia.com/wiki/Darada;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Darada_system;K-9;2076
Star;;Core Worlds;Daupherm Planet States;;Daupherm system;Daupherm;-18.489;-267.033;;http://starwars.wikia.com/wiki/Daupherm;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Daupherm_Planet_States;https://starwars.fandom.com/wiki/Daupherm_system;K-12;75
Star;;Core Worlds;Kanchen Sector;;Davnar system;Davnar II;-71.193;41.719;;https://starwars.fandom.com/wiki/Davnar_II;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Kanchen_sector;https://starwars.fandom.com/wiki/Davnar_system;K-9;2643
Star;;Core Worlds;Demophon sector ;Demophon;Demophon system;Demophon;119.327;-33.181;;http://starwars.wikia.com/wiki/Demophon;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Demophon_sector;https://starwars.fandom.com/wiki/Demophon_system;M-10;134
Star;;Core Worlds;;;Denevar system ;Denevar;-48.611;52.89;;http://starwars.wikia.com/wiki/Denevar;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Denevar_system;K-9;44
Star;;Core Worlds;;;Dentaal system ;Dentaal;-4.31;-325.845;;http://starwars.wikia.com/wiki/Dentaal;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Dentaal_system;K-13;79
Star;;Core Worlds;;;Diamal system ;Diamal;10.115;-342.49;;https://starwars.fandom.com/wiki/Diamal_(planet);https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Diamal_system;L-13;124
Star;;Core Worlds;Kuat sector;;Drurish system ;Drurish;185.277;-58.825;;http://starwars.wikia.com/wiki/Drurish_system;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Kuat_sector/Legends;https://starwars.fandom.com/wiki/Drurish_system;M-10;2139
Star;;Core Worlds;Duro sector;Duro;Duro system/Duros system;Duro;157.102;-186.797;;http://starwars.wikia.com/wiki/Duro;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Duro_sector/Legends;https://starwars.fandom.com/wiki/Duro_system;M-11;165
Star;;Core Worlds, Southern Core;;;Eamus system;Eamus 6;5.307;-304.268;;https://starwars.fandom.com/wiki/Eamus_6;https://starwars.fandom.com/wiki/Core_Worlds, https://starwars.fandom.com/wiki/Southern_Core;;https://starwars.fandom.com/wiki/Eamus_system;L-13;122
Star;;Core Worlds;Demophon sector ;Demophon;Demophon system;Enarc;146.841;-33.031;;https://starwars.fandom.com/wiki/Enarc_(Demophon_system);https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Demophon_sector;https://starwars.fandom.com/wiki/Demophon_system;M-10;2799
Star;;Core Worlds;Darpa sector ;Essess;Essesia system;Esseles;64.988;38.311;;http://starwars.wikia.com/wiki/Esseles;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Darpa_sector;https://starwars.fandom.com/wiki/Essesia_system;L-9;92
Star;;Core Worlds;Farrfin sector;;Farrfin system;Farrfin;-25.163;52.031;;http://starwars.wikia.com/wiki/Farrfin;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Farrfin_sector;https://starwars.fandom.com/wiki/Farrfin_system;K-9;49
Star;;Core Worlds;;;Fedalle system;Fedalle;139.815;-54.475;;http://starwars.wikia.com/wiki/Fedalle;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Fedalle_system;M-10;136
Star;;Core Worlds;;;Foerost system;Foerost;0.391;-7.06;;http://starwars.wikia.com/wiki/Foerost;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Foerost_system;L-10;67
Star;;Core Worlds;;;Frego system;Frego;29.363;-306.429;;http://starwars.wikia.com/wiki/Frego;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Frego_system;L-13;119
Star;;Core Worlds;;Fre'ji;Fre'ji system;Fresia;-58.167;-29.475;;http://starwars.wikia.com/wiki/Fresia;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Fre%27ji_system;K-10;60
Star;;Core Worlds;Torranix sector;;Galand system ;Galand;-53.563;-23.72;;http://starwars.wikia.com/wiki/Galand;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Torranix_sector;https://starwars.fandom.com/wiki/Galand_system;K-10;61
Star;;Core Worlds;Farlax sector;Utos;Utos system;Galantos;-94.577;-55.855;;http://starwars.wikia.com/wiki/Galantos;https://starwars.fandom.com/wiki/Core_Worlds;https://starwars.fandom.com/wiki/Farlax_sector;https://starwars.fandom.com/wiki/Utos_system;K-10;69
Star;;Core Worlds;;;Galvoni system ;Galvoni III;-15.034;29.587;;https://starwars.fandom.com/wiki/Galvoni_III;https://starwars.fandom.com/wiki/Core_Worlds;;https://starwars.fandom.com/wiki/Galvoni_system;K-9;52
