Object type;Object class;Region;Sector;Star name;System;Planet;X;Y;Z;Planet link;Region link;Sector link;System link;Grid;technicalId
Star;M6 V // red dwarf;Expansion Region;Farstey Sector;Aber;Abron system/Alpheridies System;Alpheridies;361.126;183.357;;http://starwars.wikia.com/wiki/Alpheridies;https://starwars.fandom.com/wiki/Expansion_Region;http://starwars.wikia.com/wiki/Farstey_sector;https://starwars.fandom.com/wiki/Abron_system;O-8;1156
StarBarycenter;// 2 stars;Expansion Region, Trailing Sectors;Yaraga Sector;;Adner system;Adner;206.582;-612.173;;https://starwars.fandom.com/wiki/Adner;https://starwars.fandom.com/wiki/Expansion_Region, https://starwars.fandom.com/wiki/Trailing_Sectors/Legends;http://starwars.wikia.com/wiki/Yaraga_sector;https://starwars.fandom.com/wiki/Adner_system;N-16;2192
Star;;Expansion Region, Trailing Sectors;Mbandamonte Sector;;Aguarl system;Aguarl III;268.376;-519.791;;https://starwars.fandom.com/wiki/Aguarl_3;https://starwars.fandom.com/wiki/Expansion_Region, https://starwars.fandom.com/wiki/Trailing_Sectors/Legends;http://starwars.wikia.com/wiki/Mbandamonte_sector;https://starwars.fandom.com/wiki/Aguarl_system;N-15;2203
Star;;Expansion Region, Trailing Sectors, The Slice;Tynna Sector;;Allanteen system;Allanteen VI;319.114;-409.403;;https://starwars.fandom.com/wiki/Allanteen_VI;https://starwars.fandom.com/wiki/Expansion_Region, https://starwars.fandom.com/wiki/Trailing_Sectors/Legends, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Tynna_sector;https://starwars.fandom.com/wiki/Allanteen_system;O-14;1091
Star;;Expansion Region, The Slice;Altier Sector;;Altier system;Altier;349.822;-350.529;;http://starwars.wikia.com/wiki/Altier;https://starwars.fandom.com/wiki/Expansion_Region, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Altier_sector;https://starwars.fandom.com/wiki/Altier_system;O-13;1109
Star;G3 V;Expansion Region;Brak Sector;Aramand;Aramand system;Mirani;377.8;-458.868;;https://starwars.fandom.com/wiki/Mirani;https://starwars.fandom.com/wiki/Expansion_Region;http://starwars.wikia.com/wiki/Brak_sector;https://starwars.fandom.com/wiki/Aramand_system;O-14;3570
Star;;Expansion Region, Trailing Sectors;Kira Sector;;Arrgaw system;Arrgaw;221.997;-605.719;;http://starwars.wikia.com/wiki/Arrgaw;https://starwars.fandom.com/wiki/Expansion_Region, https://starwars.fandom.com/wiki/Trailing_Sectors/Legends;http://starwars.wikia.com/wiki/Kira_sector;https://starwars.fandom.com/wiki/Arrgaw_system;N-16;1058
Star;;Expansion Region, The Slice;Hangshan Sector;;Artesia system ;Artesia;468.018;-164.307;;http://starwars.wikia.com/wiki/Artesia;https://starwars.fandom.com/wiki/Expansion_Region, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Hangshan_sector;https://starwars.fandom.com/wiki/Artesia_system;P-11;1136
Star;;Expansion Region;Freestanding Subsectors;;Aruza system;Aruza;-223.846;-478.971;;http://starwars.wikia.com/wiki/Aruza;https://starwars.fandom.com/wiki/Expansion_Region;https://starwars.fandom.com/wiki/Freestanding_subsectors;https://starwars.fandom.com/wiki/Aruza_system;I-14;1172
Star;;Expansion Region;Alchenaut Sector;Athega;Athega system;Nkllon;58.558;-614.773;;http://starwars.wikia.com/wiki/Nkllon;https://starwars.fandom.com/wiki/Expansion_Region;http://starwars.wikia.com/wiki/Alchenaut_sector;https://starwars.fandom.com/wiki/Athega_system;L-16;1041
