Object type;Object class;Region;Sector;Star name;System;Planet;X;Y;Z;Planet link;Region link;Sector link;System link;Grid;technicalId
Star;;Hutt Space;Hutt Space;;Affavan system;Affavan;734.011;-259.116;;http://starwars.wikia.com/wiki/Affavan;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Affavan_system;S-12;1548
Star;;Hutt Space, The Slice;Hutt Space;;Alee system;Alee;684.377;27.873;;http://starwars.wikia.com/wiki/Alee;http://starwars.wikia.com/wiki/Hutt_Space, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Alee_system;R-9;1490
Star;DA 3;Hutt Space;Hutt Space;Ardos (formerly Ardos, Evona);Ardos system;Varl;770.065;-155.661;;http://starwars.wikia.com/wiki/Varl;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Ardos_system;S-11;1526
Star;;Hutt Space;Hutt Space;;Aylayl system;Aylayl;788.951;-289.467;;http://starwars.wikia.com/wiki/Aylayl;http://starwars.wikia.com/wiki/Hutt_Space, https://starwars.fandom.com/wiki/Bootana_Hutta;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Aylayl_system;S-12;1550
Star;;Hutt Space, Bootana Hutta;Hutt Space;;Bootana Shagplan system;Bootana Shagplan;787.292;-96.77;;http://starwars.wikia.com/wiki/Bootana_Shagplan;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Bootana_Shagplan_system;S-10;1523
Star;;Hutt Space;Hutt Space;;Carnovia system;Carnovia;708.523;-291.239;;http://starwars.wikia.com/wiki/Carnovia;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Carnovia_system;S-12;1547
Star;;Hutt Space;Hutt Space;;Cha Raaba system/Ylesian system;Ylesia;845.229;-213.964;;http://starwars.wikia.com/wiki/Ylesia;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Cha_Raaba_system;T-12;1566
Star;;Hutt Space;Hutt Space;;Circumtore system;Circumtore;708.697;-244.452;;http://starwars.wikia.com/wiki/Circumtore;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Circumtore_system;S-12;1546
Star;;Hutt Space;Hutt Space;Cyax;Cyax system;Da Soocha;789.312;-142.305;;http://starwars.wikia.com/wiki/Da_Soocha;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Cyax_system;S-11;1529
Star;;Hutt Space;Hutt Space;;Cyborrea system;Cyborrea;735.978;18.605;;http://starwars.wikia.com/wiki/Cyborrea;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Cyborrea_system;S-9;1503
Star;K5 IV;Hutt Space;Hutt Space;;Dirha system;Dirha;755.201;76.915;;http://starwars.wikia.com/wiki/Dirha;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Dirha_system;S-9;1504
Star;;Hutt Space;Hutt Space;;Diyu system;Diyu;785.625;-217.689;;http://starwars.wikia.com/wiki/Diyu;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Diyu_system;S-12;1552
Star;;Hutt Space;Hutt Space;;Du Hutta system (assumed);Du Hutta;713.125;-171.861;;http://starwars.wikia.com/wiki/Du_Hutta;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;;S-11;1524
Star;;Hutt Space;Hutt Space;;Elgit system;Elgit;805.45;-77.427;;http://starwars.wikia.com/wiki/Elgit;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Elgit_system;T-10;1557
Star;;Hutt Space;Hutt Space;;Far Pando system;Far Pando;764.039;-368.403;;http://starwars.wikia.com/wiki/Far_Pando;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Far_Pando_system;S-13;1555
Nebula;;Hutt Space;Hutt Space, Oktos sector;;Ganath Cloud (arbitrary centered on Jilrua);;651.261;-211.107;;;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space, https://starwars.fandom.com/wiki/Oktos_sector;https://starwars.fandom.com/wiki/Ganath_Cloud/Legends;R-11, R-12;
Star;;Hutt Space;Hutt Space, Ganathan Space, Oktos Nebula;;Ganath system;Ganath;686.526;-219.661;;http://starwars.wikia.com/wiki/Ganath;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space, https://starwars.fandom.com/wiki/Ganathan_Space, https://starwars.fandom.com/wiki/Oktos_Nebula;https://starwars.fandom.com/wiki/Ganath_system;R-12;1500
Star;;Hutt Space;Hutt Space, Bootana Hutta;;Gos Hutta system;Gos Hutta;758.543;-117.428;;http://starwars.wikia.com/wiki/Gos_Hutta;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space, https://starwars.fandom.com/wiki/Bootana_Hutta;https://starwars.fandom.com/wiki/Gos_Hutta_system;S-11;1528
Star;;Hutt Space, The Slice;Hutt Space, Bootana Hutta;;Groth system;Groth;771.545;-118.091;;http://starwars.wikia.com/wiki/Groth;http://starwars.wikia.com/wiki/Hutt_Space, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Hutt_Space, https://starwars.fandom.com/wiki/Bootana_Hutta;https://starwars.fandom.com/wiki/Groth_system;S-11;1539
Star;;Hutt Space;Hutt Space;;Hollastin system;Hollastin;759.325;-269.766;;http://starwars.wikia.com/wiki/Hollastin;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Hollastin_system;S-12;1549
Star;;Hutt Space;Hutt Space;;Hosko system;Hosko;743.633;-181.681;;http://starwars.wikia.com/wiki/Hosko;http://starwars.wikia.com/wiki/Hutt_Space;http://starwars.wikia.com/wiki/Hutt_Space;https://starwars.fandom.com/wiki/Hosko_system;S-11;1525
