Object type;Object class;Region;Sector;Star name;System;Planet;X;Y;Z;Planet link;Region link;Sector link;System link;Grid;technicalId
Star;;Mid Rim;Perkell Sector;;Aargonar system;Aargonar;573.688;251.068;;http://starwars.wikia.com/wiki/Aargonar;http://starwars.wikia.com/wiki/Mid_Rim;http://starwars.wikia.com/wiki/Perkell_sector;https://starwars.fandom.com/wiki/Aargonar_system;Q-7;1841
Star;;Mid Rim, Western Reaches;Yushan Sector;;Abraxas system;Abraxas, Radix;-50.516;-741.332;;https://starwars.fandom.com/wiki/Abraxas, https://starwars.fandom.com/wiki/Radix;http://starwars.wikia.com/wiki/Mid_Rim, https://starwars.fandom.com/wiki/Western_Reaches/Legends;http://starwars.wikia.com/wiki/Yushan_sector;https://starwars.fandom.com/wiki/Abraxas_system;K-17;2177
Star;;Mid Rim, Western Reaches, Senex-Juvex;Senex sector;;Adoris system;Adoris;36.729;-792.693;;http://starwars.wikia.com/wiki/Adoris;http://starwars.wikia.com/wiki/Mid_Rim, https://starwars.fandom.com/wiki/Western_Reaches/Legends, https://starwars.fandom.com/wiki/Senex-Juvex/Legends;http://starwars.wikia.com/wiki/Senex_sector, https://starwars.fandom.com/wiki/Senex_sector/Legends,;https://starwars.fandom.com/wiki/Adoris_system;L-17;1622
Star;;Mid Rim, New Territories;M'shinni Sector;;Agriworld-2079 system ;Agriworld-2079;97.281;284.81;;https://starwars.fandom.com/wiki/Agriworld-2079;http://starwars.wikia.com/wiki/Mid_Rim, https://starwars.fandom.com/wiki/New_Territories/Legends;http://starwars.wikia.com/wiki/M'shinni_sector;https://starwars.fandom.com/wiki/Agriworld-2079_system;L-7;2202
Star;;Mid Rim;Aida Sector;;Aida system;Aida;545.921;-335.47;;https://starwars.fandom.com/wiki/Aida;http://starwars.wikia.com/wiki/Mid_Rim;http://starwars.wikia.com/wiki/Aida_sector;https://starwars.fandom.com/wiki/Aida_system;Q-13;2206
Star;;Mid Rim, The Slice;Fel Hu Sector;;Aikhibba system;Aikhibba;471.355;-394.331;;http://starwars.wikia.com/wiki/Aikhibba;http://starwars.wikia.com/wiki/Mid_Rim, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Fel_Hu_sector;https://starwars.fandom.com/wiki/Aikhibba_system;P-13;1817
Star;// Yellow primary star;Mid Rim;Dustig Sector;Al'Har;Al'Har system;Haruun Kal;179.58;-707.231;;http://starwars.wikia.com/wiki/Haruun_Kal;http://starwars.wikia.com/wiki/Mid_Rim;http://starwars.wikia.com/wiki/Dustig_sector;https://starwars.fandom.com/wiki/Al%27Har_system;M-17;1709
Star;;Mid Rim, Trailing Sector;Vilonis Sector;;Alassa Major system;Alassa Major;337.142;-648.463;;http://starwars.wikia.com/wiki/Alassa_Major;http://starwars.wikia.com/wiki/Mid_Rim, https://starwars.fandom.com/wiki/Trailing_Sectors/Legends;http://starwars.wikia.com/wiki/Vilonis_sector;https://starwars.fandom.com/wiki/Alassa_Major_system;O-16;1863
Star;;Mid Rim, New Territories;Alderath Sector;;Alderath system ;Alderath;51.191;292.686;;https://starwars.fandom.com/wiki/Alderath;http://starwars.wikia.com/wiki/Mid_Rim, https://starwars.fandom.com/wiki/New_Territories/Legends;http://starwars.wikia.com/wiki/Alderath_sector;https://starwars.fandom.com/wiki/Alderath_system;L-7;2215
Star;;Mid Rim;Bright Jewel Sector;;Aleen system;Aleen;37.917;232.62;;http://starwars.wikia.com/wiki/Aleen;http://starwars.wikia.com/wiki/Mid_Rim;http://starwars.wikia.com/wiki/Bright_Jewel_sector;https://starwars.fandom.com/wiki/Aleen_system;L-7;1242
