Object type;Object class;Region;Sector;Star name;System;Planet;X;Y;Z;Planet link;Region link;Sector Link;System link;Grid;technicalId
Star;;Outer Rim;Arkanis Sector;;A-Foroon system ;A-Foroon;660.017;-648.846;;http://starwars.wikia.com/wiki/A-Foroon;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Arkanis_sector;https://starwars.fandom.com/wiki/A-Foroon_system;R-16;485
Star;;Outer Rim;Nijune Sector;;Aar system;Aar;279.324;486.769;;https://starwars.fandom.com/wiki/Aar;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Nijune_sector;https://starwars.fandom.com/wiki/Aar_system;N-5;2169
Star;;Outer Rim;Kathol Sector;;Aaris system;Aaris III;172.255;-1109.406;;https://starwars.fandom.com/wiki/Aaris_III;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Kathol_sector;https://starwars.fandom.com/wiki/Aaris_system;M-21;2170
Star;;Outer Rim;Sujimis Sector;;Ab'Bshingh system;Ab'Bshingh;392.918;-945.805;;https://starwars.fandom.com/wiki/Ab%27Bshingh;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Sujimis_sector;https://starwars.fandom.com/wiki/Ab%27Bshingh_system;O-19;2171
Star;// yellow star;Outer Rim;Sprizen Sector;Abafed;Abafar system;Abafar;285.056;439.617;;http://starwars.wikia.com/wiki/Abafar;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Sprizen_sector;https://starwars.fandom.com/wiki/Abafar_system;N-5;2048
Star;;Outer Rim Territories, Inner Zuma Region;Zuma sector, Spar sector;;Abbaji system;Abbaji;-315.836;-682.899;;https://starwars.fandom.com/wiki/Abbaji_(Spar_sector);https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Inner_Zuma_Region;https://starwars.fandom.com/wiki/Zuma_sector, https://starwars.fandom.com/wiki/Spar_sector;https://starwars.fandom.com/wiki/Abbaji_system;H-16;2174
Star;;Outer Rim Territories, Tingel Arm;Corporate Sector;;Abo Dreth system;Abo Dreth;739.794;622.145;;http://starwars.wikia.com/wiki/Abo_Dreth;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Tingel_Arm/Legends;https://starwars.fandom.com/wiki/Corporate_Sector/Legends;https://starwars.fandom.com/wiki/Abo_Dreth_system;S-3;543
Star;;Outer Rim;Tion Hegemony;;Abraxin system;Abraxin;749.182;395.946;;https://starwars.fandom.com/wiki/Abraxin;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Tion_Hegemony;https://starwars.fandom.com/wiki/Abraxin_system;S-6;2178
Star;;Outer Rim;Koradin Sector;;Abridon system;Abridon;-134.761;-886.652;;http://starwars.wikia.com/wiki/Abridon;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Koradin_sector;https://starwars.fandom.com/wiki/Abridon_system;J-18;278
Star;;Outer Rim Territories, The Slice;Abrion Sector;;Abrion Major system;Abrion Major;712.741;-552.487;;https://starwars.fandom.com/wiki/Abrion_Major;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Abrion_sector;https://starwars.fandom.com/wiki/Abrion_Major_system;S-15;2179
Star;;Outer Rim;Abrion Sector;;Absanz system (assumed);Absanz;741.558;-575.818;;https://starwars.fandom.com/wiki/Absanz;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Abrion_sector;;S-15;2180
Star;;Outer Rim;Tunka sector;;Absit system;Absit;-179.506;-358.564;;https://starwars.fandom.com/wiki/Absit;http://starwars.wikia.com/wiki/Inner_Rim;https://starwars.fandom.com/wiki/Tunka_sector;https://starwars.fandom.com/wiki/Absit_system;J-13;2181
Star;;Outer Rim;Minos Cluster;;Adarlon system;Adarlon;162.641;-1055.903;;http://starwars.wikia.com/wiki/Adarlon;http://starwars.wikia.com/wiki/Outer_Rim;https://starwars.fandom.com/wiki/Minos_Cluster;https://starwars.fandom.com/wiki/Adarlon_system;M-20;343
StarBarycenter;// Yellow-white and white dwarf ?;Outer Rim Territories, Hutt Space;Auril Sector;Adega Prime, Adega Besh;Adega system;Ossus;699.508;319.002;;http://starwars.wikia.com/wiki/Ossus;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Hutt_Space/Legends;http://starwars.wikia.com/wiki/Auril_sector;https://starwars.fandom.com/wiki/Adega_system;R-6;930
Star;;Outer Rim;Bheriz Sector;;Aduba system;Aduba;933.907;-114.941;;http://starwars.wikia.com/wiki/Aduba;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Bheriz_sector;https://starwars.fandom.com/wiki/Aduba_system;U-11;948
Star;;Outer Rim Territories, New Territories;Corosi Sector;;Aefao system;Aefao;242.421;408.811;;https://starwars.fandom.com/wiki/Aefao;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/New_Territories/Legends;http://starwars.wikia.com/wiki/Corosi_sector;https://starwars.fandom.com/wiki/Aefao_system;N-5;2193
Star;;Outer Rim;Kessel Sector;;Aeneid (system);Aeneid;845.642;-19.703;;http://starwars.wikia.com/wiki/Aeneid;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Kessel_sector;;T-10;999
Star;;Outer Rim;Lahara Sector;;Agamar system;Agamar;145.739;419.714;;http://starwars.wikia.com/wiki/Agamar;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Lahara_sector;https://starwars.fandom.com/wiki/Agamar_system;M-5;846
Star;;Outer Rim Territories, Extrictarium Nebula;Ash Worlds;;Agon system;Agon Nine;814.498;245.948;;https://starwars.fandom.com/wiki/Agon_Nine;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Extrictarium_Nebula;https://starwars.fandom.com/wiki/Ash_Worlds;https://starwars.fandom.com/wiki/Agon_system;T-7;2199
Star;;Outer Rim Territories, Trailing Sectors;Sluis Sector;;Agora system;Agora;151.095;-941.757;;https://starwars.fandom.com/wiki/Agora;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Trailing_Sectors/Legends;http://starwars.wikia.com/wiki/Sluis_sector;https://starwars.fandom.com/wiki/Agora_system;M-19;2200
Star;;Outer Rim;Myto Sector;;Ahakista system;Ahakista;-30.549;615.041;;http://starwars.wikia.com/wiki/Ahakista;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Myto_sector;https://starwars.fandom.com/wiki/Ahakista_system/Legends;K-3;685
Star;;Outer Rim;Cademimu Sector;;Ajan Kloss system (assumed);Ajan Kloss;75.476;405.563;;https://starwars.fandom.com/wiki/Ajan_Kloss;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Cademimu_sector;;L-5;2165
Star;;Outer Rim;Thrasybule Sector;;Akiva system (assumed);Akiva;410.325;348.06;;https://starwars.fandom.com/wiki/Akiva;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Thrasybule_sector;;P-6;2208
Star;;Outer Rim Territories, The Slice;Calaron Sector;;Akrit'tar system;Akrit'tar;890.476;67.159;;https://starwars.fandom.com/wiki/Akrit%27tar;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/The_Slice/Legends;http://starwars.wikia.com/wiki/Calaron_sector;https://starwars.fandom.com/wiki/Akrit%27tar_system;T-9;940
Star;;Outer Rim;Oplovis Sector;;Akuria system;Akuria;134.447;488.259;;http://starwars.wikia.com/wiki/Akuria;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Oplovis_sector;https://starwars.fandom.com/wiki/Akuria_system;M-5;849
Star;;Outer Rim Territories, Trans-Hydian;Belsmuth Sector;;Alba system;Alba-16;388.436;310.295;;https://starwars.fandom.com/wiki/Alba-16;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Trans-Hydian;http://starwars.wikia.com/wiki/Belsmuth_sector;https://starwars.fandom.com/wiki/Alba_system;O-6;2211
Star;;Outer Rim;Albarrio Sector;;Albarrio system;Aris;-31.153;497.552;;http://starwars.wikia.com/wiki/Aris;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Albarrio_sector;https://starwars.fandom.com/wiki/Albarrio_system/Legends;K-5;861
Star;;Outer Rim;Albarrio Sector;;Albarrio system/Scipio system;Scipio;-64.533;481.957;;http://starwars.wikia.com/wiki/Scipio;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Albarrio_sector;https://starwars.fandom.com/wiki/Albarrio_system;K-5;51
Star;;Outer Rim Territories, Trans-Hydian;Illisurevimurasi Sector;;Aldivy system;Aldivy;521.888;518.581;;https://starwars.fandom.com/wiki/Aldivy;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Trans-Hydian;https://starwars.fandom.com/wiki/Illisurevimurasi_sector;https://starwars.fandom.com/wiki/Aldivy_system;Q-4;2217
Star;;Outer Rim Territories, Tion Cluster;Cronese Mandate;;Algor system;Algor;791.744;330.739;;http://starwars.wikia.com/wiki/Algor;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Tion_Cluster/Legends;https://starwars.fandom.com/wiki/Cronese_Mandate;https://starwars.fandom.com/wiki/Algor_system;S-6;786
Star;;Outer Rim;Tamarin Sector;;Alis Point system;Alis Point;269.513;-857.386;;https://starwars.fandom.com/wiki/Alis_Point;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Tamarin_sector;https://starwars.fandom.com/wiki/Alis_Point_system;N-18;2220
Star;K5 V;Outer Rim Territories, Western Reaches;Greater Javin, Anoat sector;;Allyuen system;Allyuen;-77.724;-857.391;;http://starwars.wikia.com/wiki/Allyuen;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Western_Reaches/Legends;https://starwars.fandom.com/wiki/Greater_Javin/Legends, https://starwars.fandom.com/wiki/Anoat_sector/Legends;https://starwars.fandom.com/wiki/Allyuen_system;K-18;417
Star;;Outer Rim;Mortex sector, Almanian sector;;Almanian system;Almania;717.119;494.43;;http://starwars.wikia.com/wiki/Almania;http://starwars.wikia.com/wiki/Outer_Rim;https://starwars.fandom.com/wiki/Mortex_sector, https://starwars.fandom.com/wiki/Almanian_sector;https://starwars.fandom.com/wiki/Almanian_system;S-5;719
Star;G0 V;Outer Rim Territories, Trans-Hydian;Rolion Sector;;Althir system;Althir III;494.755;307.475;;https://starwars.fandom.com/wiki/Althir_III;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Trans-Hydian;http://starwars.wikia.com/wiki/Rolion_sector;https://starwars.fandom.com/wiki/Althir_system;P-6;2238
Star;;Outer Rim;Ash Worlds;Altratonne Prime;Altratonne system;Altratonne;771.6;263.552;;http://starwars.wikia.com/wiki/Altratonne;http://starwars.wikia.com/wiki/Outer_Rim;https://starwars.fandom.com/wiki/Ash_Worlds;https://starwars.fandom.com/wiki/Altratonne_system;S-7;879
Star;;Outer Rim Territories, New Territories;Morshdine Sector;;Altyr system;Altyr V;346.673;487.02;;https://starwars.fandom.com/wiki/Altyr_V;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/New_Territories/Legends;http://starwars.wikia.com/wiki/Morshdine_sector;https://starwars.fandom.com/wiki/Altyr_system;O-5;2150
Star;;Outer Rim;Sujimis Sector;;Alzoc system;Alzoc III;443.747;-943.363;;https://starwars.fandom.com/wiki/Alzoc_III;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Sujimis_sector;https://starwars.fandom.com/wiki/Alzoc_system/Legends;P-19;455
Star;;Outer Rim Territories, Trans-Hydian;Allied Tion Sector;;Amarin system;Amarin;737.372;384.17;;http://starwars.wikia.com/wiki/Amarin;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/Trans-Hydian;http://starwars.wikia.com/wiki/Allied_Tion_sector;https://starwars.fandom.com/wiki/Amarin_system;S-6;798
Star;;Outer Rim Territories, New Territories;Quelii Sector;;Amorris system;Amorris;330.758;354.297;;https://starwars.fandom.com/wiki/Amorris;https://starwars.fandom.com/wiki/Outer_Rim_Territories/Legends, https://starwars.fandom.com/wiki/New_Territories/Legends;http://starwars.wikia.com/wiki/Quelii_sector;https://starwars.fandom.com/wiki/Amorris_system;O-6;2252
Star;;Outer Rim;Meridian Sector;;Ampliquen system;Ampliquen;633.997;294.294;;https://starwars.fandom.com/wiki/Ampliquen;http://starwars.wikia.com/wiki/Outer_Rim;http://starwars.wikia.com/wiki/Meridian_sector;https://starwars.fandom.com/wiki/Ampliquen_system;R-7;2253
