Object type;Object class;Region;Sector;Star name;System;Planet;X;Y;Z;Planet link;Region link;Sector link;System link;Grid;technicalId
Nebula;;Unknown Regions;Chiss Ascendancy;;Rata Nebula (arbitrary centered on Rhigar);Rata Nebula;-603.281;84.604;;https://starwars.fandom.com/wiki/Rata_Nebula;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Rata_Nebula;E-9/F-9;
StarBarycenter;;Unknown Regions;;;Ahch-To system;Ahch-To;-651.605;-371.236;;http://starwars.wikia.com/wiki/Ahch-To;http://starwars.wikia.com/wiki/Unknown_Regions;;https://starwars.fandom.com/wiki/Ahch-To_system;E-13;2121
Star;;Unknown Regions;Chiss Ascendancy;;Avidich system;Avidich;-610.083;120.375;;http://starwars.wikia.com/wiki/Avidich;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Avidich_system;E-8;1963
Star;;Unknown Regions;Chiss Ascendancy;;Bogo Rai system;Bogo Rai;-671.026;103.171;;http://starwars.wikia.com/wiki/Bogo_Rai;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Bogo_Rai_system;E-8;1954
Star;;Unknown Regions;;;Carrivar system;Carrivar;-470.997;21.155;;https://starwars.fandom.com/wiki/Carrivar;http://starwars.wikia.com/wiki/Unknown_Regions;;https://starwars.fandom.com/wiki/Carrivar_system;G-9;2501
Star;;Unknown Regions;Chiss Ascendancy;;Celwis system;Celwis;-523.694;107.253;;http://starwars.wikia.com/wiki/Celwis;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Celwis_system;F-8;1955
Star;;Unknown Regions;Chiss Ascendancy;;Cioral system;Cioral;-589.975;115.648;;http://starwars.wikia.com/wiki/Cioral;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Cioral_system;F-8;1973
Star;;Unknown Regions;Chiss Ascendancy;;Colonial Station Cam'co system;Colonial Station Cam'co;-591.262;174.369;;http://starwars.wikia.com/wiki/Colonial_Station_Cam%27co;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Colonial_Station_Cam%27co_system;F-8;1975
Star;;Unknown Regions;Chiss Ascendancy;;Colonial Station Chaf system;Colonial Station Chaf;-580.104;67.036;;http://starwars.wikia.com/wiki/Colonial_Station_Chaf;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Colonial_Station_Chaf_system;F-9;1985
Star;;Unknown Regions;Chiss Ascendancy;;Copero system;Copero;-571.637;92.754;;http://starwars.wikia.com/wiki/Copero;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Copero_system;F-9;1983
Star;;Unknown Regions;Chiss Ascendancy;;Cormit system;Cormit;-557.731;111.838;;http://starwars.wikia.com/wiki/Cormit;http://starwars.wikia.com/wiki/Unknown_Regions;https://starwars.fandom.com/wiki/Chiss_Ascendancy/Legends;https://starwars.fandom.com/wiki/Cormit_system;F-8;1974
